Record_ID;Country;Procurement_Platform;Platform_Tender_ID;NEN_ID;Internal_Reference_IDs;Master_Tender_Name;Tender_Title_or_Lot;Contracting_Authority;Publication_Year;Procurement_Type;Priority_or_Sample_Role;Initial_Metadata_Code;Vehicle_Context;Detail_URL;Documents_URL;Explanations_URL;Result_or_Award_URL;Source_URL;Documents_Reviewed;Document_Completeness;Explicit_CV_Cybersecurity_Code;Digital_Exposure_Code;Overall_Finding_Class;Direct_Cybersecurity_Requirement;R155_R156_Referenced;Telematics_or_Remote_Access;Location_or_Operational_Data;Supplier_Risk_or_Certification;Data_Deletion_or_Deactivation;kybernetická bezpečnost;zranitelnost;bezpečnostní aktualizace;aktualizace softwaru;OTA;telematika;vzdálená diagnostika;vzdálený přístup;cloud;API;GPS;lokalizační data;provozní data;mobilní aplikace;R155;R156;CSMS;SUMS;incident;dodavatelské riziko;mazání dat;deaktivace služeb;Keyword_Score;Any_Explicit_Cybersecurity;Key_Positive_Evidence;Key_Missing_Cyber_Items;Recommendation_Needed;Short_Conclusion;Analyst_Notes
CZ-N006-18-V00002888;Czech Republic;NEN;N006/18/V00002888;N006/18/V00002888;"MV-21007-3/VZ-2018; MV-21007-12/VZ-2018; MV-21007-17/VZ-2018; MV-21007-25/VZ-2018; MV-21007-28/VZ-2018; MV-21007-36/VZ-2018; MVCRX03UBM4N";Framework agreement for passenger cars in police and ordinary configuration and service-workshop equipment;Framework agreement for passenger cars in police and ordinary configuration and service-workshop equipment;Ministry of the Interior;2018;Direct acquisition / framework;High;0;Passenger and police cars with radio installation, LZZ localization/recording equipment, GPS/GLONASS, service diagnostics and online service support;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00002888;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00002888/zadavaci-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00002888/vysvetleni-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00002888/vysledek;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00002888;"Zadávací dokumentace včetně příloh.pdf; Příloha č. 1 Technická specifikace.pdf/docx; Příloha č. 1 Technická specifikace - Policejní výbava.pdf/docx; Příloha č. 2; Příloha č. 3 service lists/equipment; Příloha č. 4 spare parts; Příloha č. 5 RD; Příloha č. 6 VRZ; Příloha č. 7 criteria; explanations I-IV";"Uploaded procurement PDFs/DOCX reviewed; XLSX duplicates uploaded but not separately parsed where PDF equivalents existed; NEN HTML/result pages not re-opened";2;3;Connected-vehicle digital/telematics exposure without explicit cybersecurity requirements;No;No;Yes;Yes;No;No;0;0;0;2;0;1;2;2;0;0;2;2;1;0;0;0;0;0;0;0;0;0;12;No;"Příloha č. 1 Policejní výbava p.6: mobile data terminal, GPS receiver, GPS/GLONASS RS232 localization system and LZZ; p.7: car PC, USB, RS232, LAN, PoE switch, video server; Příloha č. 3 Vybavení servisních pracovišť p.1: diagnostic devices, system updates, remote online diagnostic help; ZD p.13: online access to technical documentation/support";"No cyber/information-security clause; no vulnerability, security-update, OTA, R155/R156, CSMS/SUMS, incident-response, data-deletion or service-deactivation requirement";Yes;Procurement contains substantial vehicle ICT, GPS/LZZ and service-diagnostic connectivity, but no visible cybersecurity requirement.;"Digital markers were coded only where visible in uploaded documents; GPS/LZZ and diagnostics are technical exposure, not cybersecurity obligations."
CZ-N006-18-V00007773;Czech Republic;NEN;N006/18/V00007773;N006/18/V00007773;"Č.j. PPR-32331-50/ČJ-2017-990640; PPR-32331-55/ČJ-2017-990640; PPR-32331-59/ČJ-2017-990640; PPR-32331-62/ČJ-2017-990640";Framework agreement for special police passenger cars for transporting the President and protected persons;Rámcová dohoda na dodávky automobilů osobních policejních speciálních pro přepravu prezidenta ČR a chráněných osob;Ministry of the Interior;2018;Direct acquisition / framework;High;0;"Special police passenger cars: VIP limousines, ballistic VIP limousine and SUV for transport of President/protected persons; vehicle ICT includes navigation, eCall/infotainment Online/Care Connect, camera/radiostation equipment.";https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00007773;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00007773/zadavaci-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00007773/vysvetleni-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00007773/vysledek;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00007773;"050 zadávací dokumentace RD.doc/pdf; 055 změna zadávacích podmínek č. 1.pdf; 059 změna zadávacích podmínek č. 2.pdf; 062 vysvětlení/změna zadávacích podmínek č. 3.pdf";"Core tender documentation, technical specification and changes/explanation provided and reviewed; no signed final contract/award result document provided in chat.";2;3;ICT/connected vehicle features present, but no explicit vehicle cybersecurity requirement;No;No;Yes;Yes;Yes;No;0;0;0;2;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;9;No;"ZD p.6: navigation updates; eCall/infotainment Online/Care Connect and access to needed data. Tech spec p.31/40: navigation with free updates 5 years. Tech spec p.38-40: vehicle camera/radiostation equipment and documentation. ZD p.7: NEN offer encryption only, not vehicle cyber.";No R155/R156, CSMS/SUMS, vulnerability handling, security updates, OTA security, incident reporting, data deletion or service deactivation requirements found.;Yes;Connected/digital vehicle elements are visible, but the reviewed documents do not impose explicit connected-vehicle cybersecurity obligations.;"Codes treat navigation updates and connected services as technical/digital exposure only; procurement-platform encryption and confidentiality are not counted as vehicle cybersecurity requirements."
CZ-N006-18-V00001268;Czech Republic;NEN;N006/18/V00001268;N006/18/V00001268;"KRPA-13607-3/ČJ-2017-0000VZ-V; KRPA-13607-9/ČJ-2018-0000VZ-V; KRPA-13607-3/2018-0000VZ-V; PCR00ETRpo67393670; PCR00ETRpo67520628";Service and repair of police service transport assets, armoured wheeled vehicle OKV R;Service and repair of police service transport assets, armoured wheeled vehicle OKV R;Prague Police Regional Directorate;2018;Service / repair;Medium;0;"Armoured police wheeled vehicles OKV R/VOP 026; workshop service and repair";https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00001268;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00001268/zadavaci-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00001268/vysvetleni-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00001268/vysledek;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00001268;"13607-3 výzva.pdf; 13607-3-1 Specifikace vozidel.pdf; 13607-3-2 Cenová tabulka.xlsx; 13607-3-3 Návrh smlouvy.doc; 13607-9 Smlouva.PDF";"Partial: uploaded tender docs and signed contract reviewed; separate NEN explanations/result page contents not provided as files";1;1;"No cybersecurity; conventional repair with low diagnostic/operational-data exposure";No;No;No;Yes;Yes;No;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;3;No;"Výzva p.1-3: service/repairs and technical means; contract p.3-4: job sheet has RZ, km, PHM; price table: mechanical/diagnostic work";No cyber/security, software update, OTA, telematics, remote access, cloud/API or R155/R156 items found;No;"Conventional OKV repair/service procurement; no explicit cybersecurity or connected-vehicle requirements";"Diagnostics is a workshop service category only; supplier-risk coding is indirect from subcontractor liability/qualification clauses"
CZ-N006-18-V00023452;Czech Republic;NEN;N006/18/V00023452;N006/18/V00023452;"ZSM-114/OVZ-2018; ZSM-114-2/OVZ-2018; ZSM-114-4/OVZ-2018; ZSM-114-8/OVZ-2018; ZSM-114-9/OVZ-2018";Technical inspections and emissions measurements;Technical inspections and emissions measurements;Service Facility for the Ministry of the Interior;2018;Service / inspection;Medium;0;Service contract for technical inspections, emissions measurements, evidentiary inspections and ADR inspections of road vehicles categories N1, N2, N3, M2, M3, O3 and T1;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00023452;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00023452/zadavaci-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00023452/vysvetleni-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00023452/vysledek;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00023452;"2 Zadávací dokumentace-TK, emise.pdf; 2-1 Příloha č. 1 k ZD - Závazný návrh smlouvy TK, Emise.pdf; 2-1-1 Příloha č. 1 ke Smlouvě - Cenová tabulka.xlsx; 2-1-2 Příloha č. 2 Smlouvy-Seznam Oprávněných osob.pdf; 2-2 Příloha č. 2 k ZD- Čestné prohlášení o splnění kvalifikace.pdf; 4-0 Vysvětlení k Zadávací dokumentaci č. 1.pdf; 8-0 Rozhodnutí o výběru dodavatele.pdf; 9-0 Smlouva TK, Emise_.pdf";"Provided package appears complete for ZD, contract, attachments, clarification, award and pricing; signed contract PDF was image-only but visible page images were reviewed";1;1;"No visible connected-vehicle cybersecurity; ordinary vehicle inspection service with low digital administrative exposure";No;No;No;No;Yes;No;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;No;"ZD p3 s4.1: technical inspections, emissions, evidentiary inspections, ADR; Contract p3 s2.2: inspection/emission services and protocols; ZD p7-8 s8.5 and Contract p6 s6.5: subcontractor qualification/responsibility; Contract p7 s9: information publication/confidentiality only";No cyber security, vulnerability, OTA/software update, telematics, remote diagnostics/access, cloud/API, GPS/location data, R155/R156, CSMS/SUMS, incident, data deletion or service deactivation requirements;No;"Procurement is for conventional technical inspection and emissions services; no explicit cybersecurity or connected-vehicle digital service obligations found.";Do not treat NEN electronic submission, data boxes, email invoicing or statutory confidentiality as vehicle cybersecurity requirements.
CZ-N006-18-V00024471;Czech Republic;NEN;N006/18/V00024471;N006/18/V00024471;"HSLI-2482/KŘ-EKO-P-2018; HSLI-2482-10/KŘ-EKO-P-221-2018";Repairs and service of Škoda vehicles;Repairs and service of Škoda vehicles;Fire Rescue Service of Liberec Region;2018;Service / repair;Medium;0;Service/repair of 39 Škoda passenger vehicles;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00024471;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00024471/zadavaci-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00024471/vysvetleni-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00024471/vysledek;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-18-V00024471;Smlouva o dílo - anonymizovaná.pdf, 7 pages :contentReference[oaicite:0]{index=0};"Only uploaded contract reviewed; other NEN tender ZIP/DOCX contents not provided";1;1;No visible connected-vehicle cybersecurity requirement;No;No;No;No;No;No;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;"Contract p.2: ordinary repairs/service of 39 Škoda vehicles; p.4: confidentiality clause only; p.7 vehicle list";No R155/R156, CSMS/SUMS, telematics, OTA, software-update, diagnostics, GPS, API/cloud, data deletion, or service deactivation requirements visible;No;Uploaded contract is a conventional vehicle service/repair agreement with no explicit cybersecurity or connected-vehicle digital obligations.;Confidentiality is general commercial/contractual confidentiality, not coded as cybersecurity. Electromechanical work and e-mail ordering are not treated as software, telematics, or remote-access requirements.
CZ-N006-19-V00013237;Czech Republic;NEN;N006/19/V00013237;N006/19/V00013237;"MV-67470-21/OSM-2019; MV-67470-22/OSM-2019; MV-67470-36/OSM-2019; MV-67470-6/OSM-2019; MVCRX04LUACQ; MVCRX04LUAN7; MVCRX04ODBEZ";Framework agreement for passenger road vehicles in commercial configuration;"Framework agreement for passenger road vehicles in commercial configuration; Parts A-B-C passenger road vehicles with optional police equipment/VRZ";Ministry of the Interior;2019;Direct acquisition / framework;High;0;"Passenger M1 road vehicles; optional police warning equipment VRZ; Bluetooth handsfree, USB, integrated radio, remote key locking";https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-19-V00013237;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-19-V00013237/zadavaci-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-19-V00013237/vysvetleni-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-19-V00013237/vysledek;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-19-V00013237;"ZD komerční auta_platná_21_8_2019.docx; Přílohy 1-9 final; Rámcové dohody A/B/C final; Slouceno.pdf; Doplnění a změna ZD č. 4.pdf; earlier TS/RD files";"Tender documentation, technical specifications, framework drafts and selected explanations provided; result/award file not provided";1;1;"Low digital exposure; no visible connected-vehicle cybersecurity requirement";No;No;No;No;Yes;No;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;No;"TS Parts A-C item 31-33: integrated radio, Bluetooth handsfree, USB; RD Art. 13: classified-information clause; Art. 14: subcontractor responsibility; Art. 9: insurance; explanations mention model/technology changes";No R155/R156, CSMS/SUMS, OTA/software updates, telematics, GPS/location data, cloud/API, vulnerability or cyber incident handling;No;Documents show basic vehicle digital equipment and supplier/insurance controls, but no connected-vehicle cybersecurity obligations.;Remote key locking treated only as low/indirect digital exposure, not telematics. Classified-information clause is not vehicle cybersecurity.
CZ-N006-20-V00031255;Czech Republic;NEN;N006/20/V00031255;N006/20/V00031255;"ZSM-116/OVZ-2020; ZSM-116-3/OVZ-2020; ZSM-116-9/OVZ-2020; ZSM-116-38/OVZ-2020; internal ZD shows N006/19/V00031255";Repairs and service of Škoda passenger cars 2021-2025;Repairs and service of Škoda passenger cars 2021-2025;Service Facility for the Ministry of the Interior;2020;Service / repair;Medium;0;"Passenger-car repair and service for Škoda fleet; warranty/post-warranty service, diagnostics, service books, recalls";https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-20-V00031255;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-20-V00031255/zadavaci-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-20-V00031255/vysvetleni-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-20-V00031255/vysledek;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-20-V00031255;"Výzva; Zadávací dokumentace and upravená verze; závazný návrh smlouvy; cenová tabulka; seznam osob; čestná prohlášení; seznam poddodavatelů; vysvětlení č.1; příloha č.5 vehicle list; vyloučení; signed contract";"Complete for uploaded package; no separate cybersecurity, telematics, OTA, cloud, API or R155/R156 specification visible";2;2;ICT/service-diagnostics present but no explicit cybersecurity requirement;No;No;No;Yes;Yes;No;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;3;No;"ZD p4 sections 4.6-4.9: diagnostic work, diagnostic equipment, electronic service book, manufacturer service measures/recalls; Contract p6 section 5.1: job card includes VIN, odometer, fuel, condition; Contract p9 sections 7.10-7.12: insurance, subcontractor liability, diagnostic information system";"No cyber security; vulnerability handling; security/software updates; OTA; telematics; remote diagnostics/access; cloud/API/GPS; R155/R156 CSMS/SUMS; incident response; data deletion/service deactivation";No;Repair/service procurement contains routine digital service markers and operational vehicle data, but no visible connected-vehicle cybersecurity obligations.;Do not treat electronic price list access, electronic service book, diagnostic equipment, recalls, insurance or subcontractor controls as cybersecurity requirements.
CZ-N006-21-V00007975;Czech Republic;NEN;N006/21/V00007975;N006/21/V00007975;"ZSM-70/OVZ-2021; ZSM-70-3/OVZ-2021; ZSM-70-16/OVZ-2021; ZSM-70-17/OVZ-2021; ZSM-70-19/OVZ-2021";Repairs of Volkswagen passenger and utility vehicles 2021-2025;Repairs of Volkswagen passenger and utility vehicles 2021-2025;Service Facility for the Ministry of the Interior;2021;Service / repair;Medium;0;VW passenger and utility vehicle repair, warranty/post-warranty service, diagnostics, service records and control-unit updates;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00007975;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00007975/zadavaci-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00007975/vysvetleni-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00007975/vysledek;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00007975;"ZD; draft contract; price table XLSX; authorised persons; qualification declaration; subcontractor list; §37 declaration; exclusion notice; award notice; signed contract PDF";"Document set in chat covers ZD, annexes, award/exclusion and contract; Explanations URL exists but no explanation document was provided in chat";2;2;ICT/software diagnostic exposure without explicit cybersecurity requirement;No;No;No;Yes;Yes;No;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;5;No;"ZD pp.6-7 requires diagnostic information-system access, diagnostics, control-unit updates, vehicle data/info and electronic service book :contentReference[oaicite:0]{index=0}; contract p.9 requires diagnostic equipment, electronic service-book entry and manufacturer service actions :contentReference[oaicite:1]{index=1}; contract p.6 records VIN, odometer, fuel and condition data :contentReference[oaicite:2]{index=2}";No visible cyber security, vulnerability, secure-update, OTA, R155/R156, CSMS/SUMS, incident-response, data deletion or service-deactivation requirements;Yes;Procurement includes vehicle diagnostics, control-unit updates and operational vehicle data, but no explicit cybersecurity obligations.;"Scored software update as technical because of “aktualizaci řídících jednotek”; operational data based on VIN/tachometer/fuel/vehicle-condition and diagnostic-system data; supplier-risk item is indirect via subcontractor/qualification controls only."
CZ-N006-21-V00006905;Czech Republic;NEN;N006/21/V00006905;N006/21/V00006905;"KRPA-59139-4/ČJ-2021-0000VZ-H; KRPA-59139-21/ČJ-2021-0000vz-H; PCR00ETRpo77362560; PCR00ETRpo77899949";Service and repairs of police service transport assets 2021-2024;Provádění servisu a oprav služebních dopravních prostředků (policejních) Krajského ředitelství policie hl. m. Prahy na období let 2021 - 2024;Prague Police Regional Directorate;2021;Service / repair;Medium;0;"Police passenger vehicles; 451 SDP; scheduled service, repairs, accident repairs, STK/emissions; includes diagnostic equipment and service-history data.";https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00006905;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00006905/zadavaci-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00006905/vysvetleni-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00006905/vysledek;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00006905;"59139-4 Zadávací podmínky; 59139-4-1 Krycí list; 59139-4-3 Návrh smlouvy; 59139-4-4 Kvalita služeb a ND; 59139-8 Vysvětlení; 59139-21 Písemná zpráva; 59139-4-2 Nabídka hodin.xlsx uploaded but not text-reviewed";"Core tender, contract, annex, explanation and award/report reviewed; pricing xlsx not accessible in parsed text; no additional NEN HTML beyond supplied metadata reviewed.";2;2;"Vehicle diagnostics/software and operational data present; no cybersecurity requirement";No;No;No;Yes;Yes;No;0;0;0;2;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;1;0;0;8;No;"Zadávací podmínky 2.7.3.9: diagnostic devices for reading ECU faults and storing measured data; Návrh smlouvy 4.6-4.7: manufacturer-updated diagnostic system and service history kept 2 years; 5.4.4 gives GPS coordinates for distance.";"No cyber/information-security obligations; no R155/R156, CSMS/SUMS, OTA, telematics, remote access, cloud/API, vulnerability handling, security updates, data deletion or service deactivation.";No;Service/repair procurement includes diagnostics, manufacturer updates to diagnostic system, GPS location marker and service-history/vehicle data, but no explicit connected-vehicle cybersecurity requirement.;"Supplier controls are operational only: certified parts, insurance, service-centre requirements and subcontractor liability; not coded as cyber supplier risk."
CZ-N006-21-V00013541;Czech Republic;NEN;N006/21/V00013541;N006/21/V00013541;"MV-67470-21/OSM-2019; MV-67470-90/OSM-2019; MV-67470-98/OSM-2019; MV-67470-120/OSM-2019";Delivery of five Škoda Kodiaq vehicles;Delivery of five Škoda Kodiaq vehicles;Fire Rescue Service of Moravian-Silesian Region;2021;Direct acquisition;High;0;Five Škoda Kodiaq passenger road vehicles in commercial configuration;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00013541;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00013541/zadavaci-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00013541/vysvetleni-dokumentace;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00013541/vysledek;https://nen.nipez.cz/verejne-zakazky/detail-zakazky/N006-21-V00013541;208_2021.pdf Kupní smlouva incl. Příloha 1 Technické parametry and Příloha 2 výdejní místa :contentReference[oaicite:0]{index=0};"Partial: purchase contract and two annexes visible; referenced framework agreement and full procurement documentation not provided";1;1;"General vehicle digital marker only; no cyber requirement";No;No;No;No;No;No;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No;Příloha 1 p.10 lists immobilizer, central locking with remote control, integrated radio, RF Bluetooth handsfree, USB;No cyber security, software update, OTA, telematics, GPS/data, R155/R156, CSMS/SUMS, data deletion/deactivation requirements;No;"No connected-vehicle cybersecurity requirements visible in the provided contract; only ordinary vehicle electronics/accessories are listed";Remote key/Bluetooth/USB are treated as low digital exposure, not telematics or cybersecurity obligations
